Distance to:	Japanese
0.03297062	Korean
0.05584900	Han_Henan
0.05605214	Han_Shandong
0.05841318	Han_Shanxi
0.06392793	Han_Jiangsu
0.06494977	Han_Shanghai
0.06570355	Mongola
0.06788781	Yugur
0.06920977	Han_Zhejiang
0.07173884	Han_Hubei
0.07325953	Xibo
0.07806061	Tibetan_Xinlong
0.07914587	Han_Sichuan
0.08288640	Tu
0.08458395	Han_Fujian
0.08510442	Qiang_Danba
0.08521760	Bonan
0.08631836	Tibetan_Gannan
0.08877719	Tujia
0.08967432	Naxi
0.09058085	Han_Chongqing
0.09198973	Yi
0.09290034	Tibetan_Yajiang
0.09408950	Tibetan_Xunhua
0.09501296	Dungan
0.09650878	Tibetan_Yunnan
